,zipcode,type,commoncity,county,areacode
0,35004,Standard,"Moody, Acmar",St. Clair County,Area Code 205
1,35005,Standard,Adamsville,Jefferson County,Area Code 205
2,35006,Standard,Adger,Jefferson County,Area Code 205
3,35007,Standard,Alabaster,Shelby County,Area Code 205
4,35010,Standard,"Alexander City, Alex City",Tallapoosa County,Area Code 256
5,35011,PO Box,"Alexander City, Alex City",Tallapoosa County,Area Code 256
6,35013,PO Box,Allgood,Blount County,Area Code 205
7,35014,Standard,Alpine,Talladega County,Area Code 256
8,35015,PO Box,Alton,Jefferson County,Area Code 205
9,35016,Standard,Arab,Marshall County,Area Code 256
10,35019,Standard,Baileyton,Cullman County,
11,35020,Standard,"Bessemer, Brighton",Jefferson County,Area Code 205
12,35021,PO Box,Bessemer,Jefferson County,Area Code 205
13,35022,Standard,"Bessemer, Helena, Hoover",Jefferson County,Area Code 205
14,35023,Standard,"Bessemer, Hueytown",Jefferson County,Area Code 205
15,35031,Standard,Blountsville,Blount County,Area Code 205
16,35032,PO Box,Bon Air,Talladega County,
17,35033,Standard,Bremen,Cullman County,Area Code 256
18,35034,Standard,Brent,Bibb County,Area Code 205
19,35035,Standard,Brierfield,Bibb County,
20,35036,PO Box,"Brookside, Cardiff",Jefferson County,Area Code 205
21,35038,PO Box,Burnwell,Walker County,Area Code 205
22,35040,Standard,Calera,Shelby County,Area Code 205
23,35041,PO Box,Cardiff,Jefferson County,Area Code 205
24,35042,Standard,Centreville,Bibb County,Area Code 205
25,35043,Standard,Chelsea,Shelby County,Area Code 205
26,35044,Standard,"Childersburg, Coosa Pines",Talladega County,Area Code 256
27,35045,Standard,Clanton,Chilton County,Area Code 205
28,35046,Standard,Clanton,Chilton County,Area Code 205
29,35048,PO Box,Clay,Jefferson County,Area Code 205
30,35049,Standard,"Cleveland, Nectar",Blount County,Area Code 205
31,35051,Standard,Columbiana,Shelby County,Area Code 205
32,35052,PO Box,Cook Springs,St. Clair County,
33,35053,Standard,Crane Hill,Cullman County,Area Code 256
34,35054,Standard,Cropwell,St. Clair County,Area Code 256Area Code 205
35,35055,Standard,"Cullman, Dodge City, Good Hope",Cullman County,Area Code 256
36,35056,PO Box,Cullman,Cullman County,Area Code 256
37,35057,Standard,"Cullman, Good Hope",Cullman County,Area Code 256
