,zipcode,type,commoncity,county,areacode
0,99501,Standard,Anchorage,Anchorage Municipality,Area Code 907
1,99502,Standard,Anchorage,Anchorage Municipality,Area Code 907
2,99503,Standard,Anchorage,Anchorage Municipality,Area Code 907
3,99504,Standard,Anchorage,Anchorage Municipality,Area Code 907
4,99505,Standard,"Jber, Anchorage, Fort Richardson, Ft Richardso...",Anchorage Municipality,Area Code 907
5,99506,Standard,"Jber, Anchorage, Elmendorf AFB",Anchorage Municipality,Area Code 907
6,99507,Standard,Anchorage,Anchorage Municipality,Area Code 907
7,99508,Standard,Anchorage,Anchorage Municipality,Area Code 907
8,99509,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
9,99510,PO Box,Anchorage,North Slope Borough,Area Code 907
10,99511,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
11,99513,Standard,Anchorage,Anchorage Municipality,Area Code 907
12,99514,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
13,99515,Standard,Anchorage,Anchorage Municipality,Area Code 907
14,99516,Standard,Anchorage,Anchorage Municipality,Area Code 907
15,99517,Standard,Anchorage,Anchorage Municipality,Area Code 907
16,99518,Standard,Anchorage,Anchorage Municipality,Area Code 907
17,99519,PO Box,Anchorage,North Slope Borough,Area Code 907
18,99520,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
19,99521,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
20,99522,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
21,99523,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
22,99524,PO Box,Anchorage,Municipality of Anchorage,Area Code 907
23,99529,Standard,Anchorage,Municipality of Anchorage,Area Code 907
24,99530,Standard,Anchorage,Municipality of Anchorage,Area Code 907
25,99540,Standard,"Indian, Anchorage, Bird Creek",Anchorage Municipality,Area Code 907
26,99545,PO Box,Kongiganak,Bethel Census Area,Area Code 907
27,99546,PO Box,Adak,Aleutians West Census Area,Area Code 907
28,99547,PO Box,Atka,Aleutians West Census Area,Area Code 907
29,99548,PO Box,"Chignik Lake, Chignik",Lake and Peninsula Borough,Area Code 907
30,99549,PO Box,"Port Heiden, King Salmon",Lake and Peninsula Borough,Area Code 907
31,99550,PO Box,Port Lions,Kodiak Island Borough,Area Code 907
32,99551,PO Box,Akiachak,Bethel Census Area,Area Code 907
33,99552,PO Box,Akiak,Bethel Census Area,Area Code 907
34,99553,PO Box,Akutan,Aleutians East Borough,Area Code 907
35,99554,PO Box,Alakanuk,Wade Hampton Census Area,Area Code 907
36,99555,PO Box,Aleknagik,Dillingham Census Area,Area Code 907
37,99556,Standard,"Anchor Point, Nikolaevsk",Kenai Peninsula Borough,Area Code 907
38,99557,PO Box,"Aniak, Chuathbaluk, Stony River",Bethel Census Area,Area Code 907
39,99558,PO Box,Anvik,Yukon-Koyukuk Census Area,Area Code 907
40,99559,PO Box,"Bethel, Atmautluak, Napaskiak, Newtok",Bethel Census Area,Area Code 907
41,99561,PO Box,Chefornak,Bethel Census Area,Area Code 907
42,99563,PO Box,Chevak,Wade Hampton Census Area,Area Code 907
43,99564,PO Box,Chignik,Lake and Peninsula Borough,Area Code 907
44,99565,PO Box,"Chignik Lagoon, Chignik Lagn",Lake and Peninsula Borough,Area Code 907
45,99566,PO Box,Chitina,Valdez-Cordova Census Area,Area Code 907
46,99567,Standard,Chugiak,Anchorage Municipality,Area Code 907
47,99568,Standard,Clam Gulch,Kenai Peninsula Borough,Area Code 907
48,99569,PO Box,Clarks Point,Dillingham Census Area,Area Code 907
49,99571,PO Box,"Cold Bay, Adak, Nelson Lagoon",Aleutians East Borough,Area Code 907
50,99572,Standard,"Cooper Landing, Cooper Lndg",Kenai Peninsula Borough,Area Code 907
51,99573,Standard,Copper Center,Valdez-Cordova Census Area,Area Code 907
52,99574,PO Box,"Cordova, Chenega Bay",Valdez-Cordova Census Area,Area Code 907
53,99575,PO Box,Crooked Creek,Bethel Census Area,Area Code 907
54,99576,PO Box,"Dillingham, Koliganek, Twin Hills",Dillingham Census Area,Area Code 907
55,99577,Standard,Eagle River,Anchorage Municipality,Area Code 907
56,99578,PO Box,Eek,Bethel Census Area,Area Code 907
57,99579,PO Box,Egegik,Lake and Peninsula Borough,Area Code 907
58,99580,PO Box,Ekwok,Dillingham Census Area,Area Code 907
