,zipcode,type,commoncity,county,areacode
0,85001,PO Box,Phoenix,Maricopa County,Area Code 602
1,85002,PO Box,Phoenix,Maricopa County,Area Code 602
2,85003,Standard,Phoenix,Maricopa County,Area Code 480Area Code 623Area Code 602Area Code 928
3,85004,Standard,Phoenix,Maricopa County,Area Code 520Area Code 928Area Code 480Area Code 602Area Code 623
4,85005,PO Box,Phoenix,Maricopa County,Area Code 602
5,85006,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602Area Code 928Area Code 623
6,85007,Standard,Phoenix,Maricopa County,Area Code 602
7,85008,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623Area Code 480
8,85009,Standard,Phoenix,Maricopa County,Area Code 480Area Code 623Area Code 602
9,85010,PO Box,Phoenix,Maricopa County,Area Code 602
10,85011,PO Box,Phoenix,Maricopa County,Area Code 602
11,85012,Standard,Phoenix,Maricopa County,Area Code 623Area Code 928Area Code 480Area Code 520Area Code 602
12,85013,Standard,Phoenix,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623Area Code 928
13,85014,Standard,Phoenix,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623Area Code 928
14,85015,Standard,Phoenix,Maricopa County,Area Code 602
15,85016,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602Area Code 623
16,85017,Standard,Phoenix,Maricopa County,Area Code 602
17,85018,Standard,Phoenix,Maricopa County,Area Code 480Area Code 623Area Code 602
18,85019,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623
19,85020,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602Area Code 623
20,85021,Standard,Phoenix,Maricopa County,Area Code 480Area Code 623Area Code 602
21,85022,Standard,Phoenix,Maricopa County,Area Code 602
22,85023,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623
23,85024,Standard,Phoenix,Maricopa County,Area Code 623
24,85025,Standard,Phoenix,Maricopa County,Area Code 480Area Code 520Area Code 623Area Code 928Area Code 602
25,85026,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623Area Code 480
26,85027,Standard,Phoenix,Maricopa County,Area Code 928Area Code 623
27,85028,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602
28,85029,Standard,Phoenix,Maricopa County,Area Code 602
29,85030,PO Box,Phoenix,Maricopa County,Area Code 602
30,85031,Standard,Phoenix,Maricopa County,Area Code 623
31,85032,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602
32,85033,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623
33,85034,Standard,Phoenix,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623Area Code 928
34,85035,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623
35,85036,PO Box,Phoenix,Maricopa County,Area Code 602
36,85037,Standard,Phoenix,Maricopa County,Area Code 623
37,85038,PO Box,Phoenix,Maricopa County,Area Code 602
38,85039,Standard,Phoenix,Maricopa County,Area Code 623
39,85040,Standard,Phoenix,Maricopa County,Area Code 602Area Code 480Area Code 623
40,85041,Standard,Phoenix,Maricopa County,Area Code 602
41,85042,Standard,Phoenix,Maricopa County,Area Code 623Area Code 480Area Code 602
42,85043,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602Area Code 623Area Code 520
43,85044,Standard,Phoenix,Maricopa County,Area Code 602Area Code 520Area Code 480
44,85045,Standard,Phoenix,Maricopa County,Area Code 480Area Code 602Area Code 520
45,85046,PO Box,Phoenix,Maricopa County,Area Code 602
46,85048,Standard,Phoenix,Maricopa County,Area Code 480Area Code 520Area Code 602
47,85050,Standard,Phoenix,Maricopa County,Area Code 480
48,85051,Standard,Phoenix,Maricopa County,Area Code 623
49,85053,Standard,Phoenix,Maricopa County,Area Code 623Area Code 602
50,85054,Standard,Phoenix,Maricopa County,Area Code 480
51,85055,Standard,Phoenix,Maricopa County,Area Code 602
52,85060,PO Box,Phoenix,Maricopa County,Area Code 602
53,85061,PO Box,Phoenix,Maricopa County,Area Code 602
54,85062,PO Box,Phoenix,Maricopa County,Area Code 602
55,85063,PO Box,Phoenix,Maricopa County,Area Code 602
56,85064,PO Box,Phoenix,Maricopa County,Area Code 602
57,85065,Standard,Phoenix,Maricopa County,Area Code 520Area Code 623Area Code 928Area Code 480Area Code 602
58,85066,PO Box,Phoenix,Maricopa County,Area Code 602
59,85067,PO Box,Phoenix,Maricopa County,Area Code 602
60,85068,PO Box,Phoenix,Maricopa County,Area Code 602
61,85069,PO Box,Phoenix,Maricopa County,Area Code 602
62,85070,PO Box,Phoenix,Maricopa County,Area Code 602
63,85071,PO Box,Phoenix,Maricopa County,Area Code 602
64,85072,PO Box,Phoenix,Maricopa County,Area Code 602
65,85073,Standard,Phoenix,Maricopa County,Area Code 602Area Code 623Area Code 480Area Code 520Area Code 928
66,85074,PO Box,Phoenix,Maricopa County,Area Code 602
67,85075,PO Box,Phoenix,Maricopa County,Area Code 602
68,85076,PO Box,Phoenix,Maricopa County,Area Code 602
69,85077,Unique,Phoenix,Maricopa County,Area Code 602
70,85078,PO Box,Phoenix,Maricopa County,Area Code 602
71,85079,PO Box,Phoenix,Maricopa County,Area Code 602
72,85080,PO Box,Phoenix,Maricopa County,Area Code 602
73,85082,PO Box,Phoenix,Maricopa County,Area Code 602
74,85083,Standard,Phoenix,Maricopa County,Area Code 602
75,85085,Standard,Phoenix,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623Area Code 928
76,85086,Standard,"Phoenix, Anthem, Desert Hills",Maricopa County,Area Code 602Area Code 623Area Code 928Area Code 480Area Code 520
77,85087,Standard,"New River, Phoenix",Maricopa County,Area Code 480Area Code 602Area Code 623Area Code 928
78,85096,Standard,Phoenix,Maricopa County,Area Code 602
79,85097,Standard,Phoenix,Maricopa County,Area Code 602Area Code 480Area Code 623
80,85098,Unique,"Phoenix, Ctc",Maricopa County,Area Code 602
81,85099,Unique,Phoenix,Maricopa County,Area Code 602
82,85117,PO Box,"Apache Junction, Apache Jct",Pinal County,Area Code 480
83,85118,Standard,"Gold Canyon, Apache Jct, Apache Junction, Queen Valle...",Pinal County,Area Code 928Area Code 520
84,85119,Standard,"Apache Junction, Apache Jct, Gold Canyon, Tortilla Flat",Pinal County,Area Code 480
85,85120,Standard,"Apache Junction, Apache Jct",Pinal County,Area Code 480
86,85121,PO Box,Bapchule,Pinal County,Area Code 520
87,85122,Standard,"Casa Grande, Eleven Mile, Eleven Mile Corner",Pinal County,Area Code 480Area Code 520
88,85123,PO Box,Arizona City,Pinal County,Area Code 520
89,85127,PO Box,"Chandler Heights, Chandler Hts",Maricopa County,Area Code 480Area Code 520
90,85128,Standard,Coolidge,Pinal County,Area Code 520
91,85130,PO Box,Casa Grande,Pinal County,Area Code 480Area Code 520
92,85131,Standard,"Eloy, Toltec",Pinal County,Area Code 520
93,85132,Standard,Florence,Pinal County,Area Code 520
94,85135,PO Box,Hayden,Gila County,Area Code 520
95,85137,Standard,Kearny,Pinal County,Area Code 520
96,85138,Standard,Maricopa,Pinal County,Area Code 520
97,85139,Standard,"Maricopa, Mobile",Pinal County,Area Code 520
98,85140,Standard,"San Tan Valley, Queen Creek, San Tan Vly",Pinal County,Area Code 520
99,85141,Standard,Picacho,Pinal County,Area Code 520
100,85142,Standard,"Queen Creek, Chandler Heights, Chandler Hts, San Tan ...",Maricopa County,Area Code 520Area Code 480
101,85143,Standard,"San Tan Valley, Queen Creek, San Tan Vly",Pinal County,
102,85145,Standard,Red Rock,Pinal County,Area Code 520
103,85147,PO Box,Sacaton,Pinal County,
104,85172,Standard,Stanfield,Pinal County,Area Code 520
105,85173,Standard,Superior,Pinal County,Area Code 520Area Code 928
106,85178,PO Box,"Apache Junction, Apache Jct",Pinal County,Area Code 480
107,85190,PO Box,Tortilla Flat,Maricopa County,Area Code 480
108,85191,PO Box,Valley Farms,Pinal County,Area Code 520
109,85192,Standard,"Winkelman, Dudleyville",Pinal County,Area Code 520
110,85193,Standard,Casa Grande,Pinal County,Area Code 520
111,85194,Standard,Casa Grande,Pinal County,Area Code 480Area Code 520
112,85201,Standard,Mesa,Maricopa County,Area Code 480Area Code 928
113,85202,Standard,Mesa,Maricopa County,Area Code 480Area Code 928
114,85203,Standard,Mesa,Maricopa County,Area Code 480
115,85204,Standard,Mesa,Maricopa County,Area Code 480
116,85205,Standard,Mesa,Maricopa County,Area Code 480
117,85206,Standard,Mesa,Maricopa County,Area Code 480
118,85207,Standard,Mesa,Maricopa County,Area Code 480
119,85208,Standard,Mesa,Maricopa County,Area Code 480
120,85209,Standard,Mesa,Maricopa County,Area Code 480
121,85210,Standard,Mesa,Maricopa County,Area Code 480Area Code 928
122,85211,PO Box,Mesa,Maricopa County,Area Code 480
123,85212,Standard,Mesa,Maricopa County,Area Code 480
124,85213,Standard,Mesa,Maricopa County,Area Code 480
125,85214,PO Box,Mesa,Maricopa County,Area Code 480
126,85215,Standard,Mesa,Maricopa County,Area Code 480
127,85216,PO Box,Mesa,Maricopa County,Area Code 480
128,85217,Standard,"Apache Junction, Apache Jct",Pinal County,Area Code 480
129,85218,Standard,"Apache Junction, Suprston Mtn, Superstition Mtn, Gold Can...",Pinal County,Area Code 480
130,85219,Standard,"Apache Junction, Apache Jct, Tortilla Flat",Pinal County,Area Code 480
131,85220,Standard,"Apache Junction, Apache Jct",Pinal County,Area Code 480
132,85221,PO Box,Bapchule,Pinal County,Area Code 520
133,85222,Standard,"Casa Grande, Eleven Mile, Eleven Mile Corner",Pinal County,Area Code 520
134,85223,Standard,Arizona City,Pinal County,Area Code 520
135,85224,Standard,Chandler,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623
136,85225,Standard,Chandler,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623
137,85226,Standard,Chandler,Maricopa County,Area Code 480Area Code 520Area Code 602Area Code 623
138,85227,Standard,"Chandler Heights, Chandler Hts, Queen Creek",Maricopa County,Area Code 480
139,85228,Standard,Coolidge,Pinal County,Area Code 520
140,85230,Standard,Casa Grande,Pinal County,Area Code 520
141,85231,Standard,"Eloy, Toltec",Pinal County,
142,85232,Standard,Florence,Pinal County,Area Code 520
143,85233,Standard,Gilbert,Maricopa County,Area Code 480
144,85234,Standard,Gilbert,Maricopa County,Area Code 480
145,85235,PO Box,Hayden,Gila County,Area Code 928
