,zipcode,type,commoncity,county,areacode
0,71601,Standard,Pine Bluff,Jefferson County,Area Code 870
1,71602,Standard,"White Hall, Pine Bluff",Jefferson County,Area Code 870
2,71603,Standard,Pine Bluff,Jefferson County,Area Code 870
3,71611,PO Box,Pine Bluff,Jefferson County,Area Code 870
4,71612,PO Box,"White Hall, Pine Bluff",Jefferson County,Area Code 870
5,71613,PO Box,Pine Bluff,Jefferson County,Area Code 870
6,71630,PO Box,Arkansas City,Desha County,Area Code 870
7,71631,Standard,Banks,Bradley County,Area Code 870
8,71635,Standard,Crossett,Ashley County,Area Code 870
9,71638,Standard,"Dermott, Collins",Chicot County,Area Code 870
10,71639,Standard,Dumas,Desha County,Area Code 870
11,71640,Standard,Eudora,Chicot County,Area Code 870
12,71642,Standard,Fountain Hill,Ashley County,
13,71643,Standard,Gould,Lincoln County,Area Code 870
14,71644,Standard,Grady,Lincoln County,Area Code 870
15,71646,Standard,Hamburg,Ashley County,Area Code 870
16,71647,Standard,Hermitage,Bradley County,Area Code 870
17,71651,Standard,Jersey,Bradley County,Area Code 870
18,71652,Standard,Kingsland,Cleveland County,Area Code 870
19,71653,Standard,"Lake Village, Jennie",Chicot County,Area Code 870
20,71654,Standard,"Mc Gehee, Mcgehee",Desha County,Area Code 870
21,71655,Standard,Monticello,Drew County,Area Code 870
22,71656,PO Box,Monticello,Drew County,Area Code 870
23,71657,PO Box,Monticello,Drew County,Area Code 870
24,71658,Standard,Montrose,Ashley County,Area Code 870
25,71659,PO Box,Moscow,Jefferson County,
26,71660,Standard,New Edinburg,Cleveland County,Area Code 870
27,71661,Standard,Parkdale,Ashley County,Area Code 870
28,71662,Standard,Pickens,Desha County,Area Code 870
29,71663,Standard,Portland,Ashley County,Area Code 870
30,71665,Standard,Rison,Cleveland County,Area Code 870
31,71666,PO Box,"Rohwer, Mc Gehee, Mcgehee",Desha County,Area Code 870
32,71667,Standard,Star City,Lincoln County,Area Code 870
33,71670,Standard,Tillar,Desha County,Area Code 870
34,71671,Standard,Warren,Bradley County,Area Code 870
35,71674,Standard,Watson,Desha County,Area Code 870
36,71675,Standard,Wilmar,Drew County,Area Code 870
37,71676,Standard,Wilmot,Ashley County,Area Code 870
38,71677,PO Box,Winchester,Drew County,Area Code 870
39,71678,PO Box,Yorktown,Lincoln County,Area Code 870
40,71701,Standard,"Camden, East Camden",Ouachita County,Area Code 870
41,71711,PO Box,Camden,Calhoun County,Area Code 870
42,71720,Standard,Bearden,Ouachita County,Area Code 870
43,71721,PO Box,Beirne,Clark County,Area Code 870
44,71722,Standard,Bluff City,Nevada County,
45,71724,PO Box,Calion,Union County,Area Code 870
46,71725,Standard,Carthage,Dallas County,Area Code 870
47,71726,Standard,"Chidester, Reader",Ouachita County,Area Code 870
48,71728,PO Box,Curtis,Clark County,Area Code 870
49,71730,Standard,El Dorado,Union County,Area Code 870
50,71731,PO Box,El Dorado,Union County,Area Code 870
51,71740,Standard,Emerson,Columbia County,Area Code 870
52,71742,Standard,Fordyce,Dallas County,Area Code 870
53,71743,Standard,Gurdon,Clark County,Area Code 870
54,71744,Standard,Hampton,Calhoun County,Area Code 870
55,71745,PO Box,Harrell,Calhoun County,Area Code 870
56,71747,Standard,Huttig,Union County,Area Code 870
57,71748,PO Box,Ivan,Dallas County,Area Code 870
58,71749,Standard,Junction City,Union County,Area Code 870
59,71750,PO Box,Lawson,Union County,Area Code 870
60,71751,Standard,Louann,Ouachita County,Area Code 870
61,71752,Standard,Mc Neil,Columbia County,Area Code 870
62,71753,Standard,"Magnolia, Village",Columbia County,Area Code 870
63,71754,PO Box,Magnolia,Columbia County,Area Code 870
64,71758,Standard,Mount Holly,Union County,Area Code 870
65,71759,PO Box,Norphlet,Union County,Area Code 870
66,71762,Standard,Smackover,Union County,Area Code 870
67,71763,Standard,"Sparkman, Manning",Dallas County,Area Code 870
68,71764,Standard,Stephens,Ouachita County,Area Code 870
69,71765,Standard,Strong,Union County,Area Code 870
70,71766,Standard,Thornton,Calhoun County,Area Code 870
71,71768,Standard,"El Dorado, Urbana",Union County,Area Code 870
72,71770,Standard,Waldo,Columbia County,Area Code 870
73,71772,PO Box,"Whelen Springs, Whelen Spgs",Clark County,Area Code 870
74,71801,Standard,Hope,Hempstead County,Area Code 870
75,71802,PO Box,Hope,Hempstead County,Area Code 870
76,71820,PO Box,Alleene,Little River County,Area Code 870
77,71822,Standard,Ashdown,Little River County,Area Code 870
78,71823,PO Box,Ben Lomond,Sevier County,Area Code 870
79,71825,Standard,Blevins,Hempstead County,Area Code 870
80,71826,Standard,Bradley,Lafayette County,Area Code 870
81,71827,Standard,Buckner,Lafayette County,Area Code 870
82,71828,PO Box,Cale,Nevada County,Area Code 870
83,71831,Standard,Columbus,Hempstead County,Area Code 870
84,71832,Standard,De Queen,Sevier County,Area Code 870
85,71833,Standard,Dierks,Howard County,Area Code 870
86,71834,Standard,Doddridge,Miller County,Area Code 870
87,71835,Standard,Emmet,Nevada County,Area Code 870
88,71836,Standard,Foreman,Little River County,Area Code 870
89,71837,Standard,Fouke,Miller County,Area Code 870
90,71838,Standard,Fulton,Hempstead County,Area Code 870
91,71839,Standard,Garland City,Miller County,Area Code 870
92,71840,PO Box,Genoa,Miller County,Area Code 870
93,71841,Standard,Gillham,Sevier County,Area Code 870
94,71842,Standard,Horatio,Sevier County,Area Code 870
95,71844,PO Box,Laneburg,Nevada County,Area Code 870
96,71845,Standard,Lewisville,Lafayette County,Area Code 870
97,71846,Standard,Lockesburg,Sevier County,Area Code 870
98,71847,Standard,Mc Caskill,Hempstead County,Area Code 870
99,71851,Standard,"Mineral Springs, Mineral Spgs",Howard County,Area Code 870
100,71852,Standard,Nashville,Howard County,Area Code 870
101,71853,Standard,Ogden,Little River County,Area Code 870
102,71854,Standard,Texarkana,Miller County,Area Code 870
103,71855,Standard,Ozan,Hempstead County,Area Code 870
104,71857,Standard,"Prescott, Laneburg",Nevada County,Area Code 870
105,71858,Standard,Rosston,Nevada County,Area Code 870
106,71859,Standard,Saratoga,Hempstead County,Area Code 870
107,71860,Standard,Stamps,Lafayette County,Area Code 870
108,71861,Standard,Taylor,Columbia County,Area Code 870
109,71862,Standard,Washington,Hempstead County,Area Code 870
110,71864,PO Box,Willisville,Nevada County,Area Code 870
111,71865,PO Box,Wilton,Little River County,Area Code 870
112,71866,Standard,Winthrop,Little River County,Area Code 870
113,71901,Standard,"Hot Springs National Park, Fountain Lake, Hot Springs",Garland County,Area Code 501
114,71902,PO Box,"Hot Springs National Park, Hot Springs",Garland County,Area Code 501
115,71903,PO Box,"Hot Springs National Park, Hot Springs",Garland County,Area Code 501
116,71909,Standard,"Hot Springs Village, Hot Springs, Hot Springs National Park",Garland County,Area Code 501
117,71910,PO Box,"Hot Springs Village, Hot Springs, Hot Springs National Park",Saline County,Area Code 501
118,71913,Standard,"Hot Springs National Park, Hot Springs, Lake Hamilton",Garland County,Area Code 501
