,zipcode,type,commoncity,county,areacode
0,90001,Standard,"Los Angeles, Firestone Park, Firestone Pk",Los Angeles County,Area Code 323
1,90002,Standard,"Los Angeles, Watts",Los Angeles County,Area Code 323Area Code 562
2,90003,Standard,Los Angeles,Los Angeles County,Area Code 323
3,90004,Standard,"Los Angeles, Oakwood",Los Angeles County,Area Code 323
4,90005,Standard,"Los Angeles, Sanford",Los Angeles County,Area Code 213Area Code 310Area Code 323Area Code 562Area Code 626Area Code 818
5,90006,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 323
6,90007,Standard,"Los Angeles, Dockweiler",Los Angeles County,Area Code 213Area Code 323
7,90008,Standard,"Los Angeles, Baldwin Hills, Leimert Park, View Park",Los Angeles County,Area Code 323
8,90009,PO Box,"Los Angeles, Los Angeles AFB, Los Angls AFB",Los Angeles County,Area Code 213
9,90010,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 310Area Code 562Area Code 626Area Code 818Area Code 323
10,90011,Standard,Los Angeles,Los Angeles County,Area Code 323
11,90012,Standard,Los Angeles,Los Angeles County,Area Code 818Area Code 323
12,90013,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 310Area Code 323Area Code 424Area Code 562Area Code 626Area Code 747Area Code 818
13,90014,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 323Area Code 562Area Code 626Area Code 818Area Code 310Area Code 424Area Code 747
14,90015,Standard,Los Angeles,Los Angeles County,Area Code 310Area Code 323Area Code 424Area Code 562Area Code 626Area Code 818Area Code 213
15,90016,Standard,Los Angeles,Los Angeles County,Area Code 213
16,90017,Standard,Los Angeles,Los Angeles County,Area Code 310Area Code 818Area Code 213Area Code 323Area Code 424Area Code 562Area Code 626
17,90018,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 323
18,90019,Standard,Los Angeles,Los Angeles County,Area Code 323
19,90020,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 310Area Code 323Area Code 562Area Code 626Area Code 818
20,90021,Standard,Los Angeles,Los Angeles County,Area Code 213
21,90022,Standard,"Los Angeles, Commerce, E Los Angeles, East Los Angele...",Los Angeles County,Area Code 562Area Code 323
22,90023,Standard,"Los Angeles, Commerce",Los Angeles County,Area Code 323
23,90024,Standard,Los Angeles,Los Angeles County,Area Code 323Area Code 818Area Code 310
24,90025,Standard,"Los Angeles, W Los Angeles, West Los Angeles",Los Angeles County,Area Code 310Area Code 424Area Code 818
25,90026,Standard,Los Angeles,Los Angeles County,Area Code 213
26,90027,Standard,Los Angeles,Los Angeles County,Area Code 323Area Code 818
27,90028,Standard,"Los Angeles, Hollywood",Los Angeles County,Area Code 818Area Code 323
28,90029,Standard,Los Angeles,Los Angeles County,Area Code 323
29,90030,PO Box,Los Angeles,Los Angeles County,Area Code 213
30,90031,Standard,"Los Angeles, Lincoln Heights, Lincoln Hts",Los Angeles County,Area Code 323
31,90032,Standard,Los Angeles,Los Angeles County,Area Code 626
32,90033,Standard,Los Angeles,Los Angeles County,Area Code 323
33,90034,Standard,Los Angeles,Los Angeles County,Area Code 310Area Code 424
34,90035,Standard,Los Angeles,Los Angeles County,Area Code 310Area Code 424
35,90036,Standard,Los Angeles,Los Angeles County,Area Code 323
36,90037,Standard,Los Angeles,Los Angeles County,Area Code 213Area Code 323Area Code 310Area Code 424
37,90038,Standard,"Los Angeles, W Hollywood, West Hollywood",Los Angeles County,Area Code 323Area Code 818
38,90039,Standard,Los Angeles,Los Angeles County,Area Code 213
39,90040,Standard,"Los Angeles, Commerce, Cty Of Cmmrce",Los Angeles County,Area Code 323Area Code 562
40,90041,Standard,"Los Angeles, Eagle Rock",Los Angeles County,Area Code 323Area Code 626
41,90042,Standard,"Los Angeles, Highland Park",Los Angeles County,Area Code 323Area Code 626
