,zipcode,type,commoncity,county,areacode
0,80001,PO Box,Arvada,Jefferson County,Area Code 303
1,80002,Standard,Arvada,Jefferson County,Area Code 303Area Code 720
2,80003,Standard,"Arvada, Westminster",Jefferson County,Area Code 303
3,80004,Standard,Arvada,Jefferson County,Area Code 303
4,80005,Standard,"Arvada, Westminster",Jefferson County,Area Code 303
5,80006,PO Box,Arvada,Jefferson County,Area Code 303
6,80007,Standard,Arvada,Jefferson County,Area Code 303
7,80010,Standard,Aurora,Arapahoe County,Area Code 303Area Code 720
8,80011,Standard,"Aurora, Buckley AFB, Buckley Air Force Base",Arapahoe County,Area Code 303Area Code 720
9,80012,Standard,"Aurora, Denver",Arapahoe County,Area Code 303Area Code 720
10,80013,Standard,Aurora,Arapahoe County,Area Code 303
11,80014,Standard,"Aurora, Denver",Arapahoe County,Area Code 720Area Code 303
12,80015,Standard,"Aurora, Centennial",Arapahoe County,Area Code 720
13,80016,Standard,"Aurora, Centennial, Foxfield",Arapahoe County,Area Code 720
14,80017,Standard,Aurora,Arapahoe County,Area Code 720
15,80018,Standard,Aurora,Arapahoe County,Area Code 303
16,80019,Standard,Aurora,Adams County,Area Code 303
17,80020,Standard,"Broomfield, Westminster",Broomfield County,Area Code 303
18,80021,Standard,"Broomfield, Westminster",Jefferson County,Area Code 303
19,80022,Standard,"Commerce City, Denver",Adams County,Area Code 303
20,80023,Standard,"Broomfield, Thornton, Westminster",Broomfield County,Area Code 303
21,80024,PO Box,Dupont,Adams County,Area Code 303
22,80025,PO Box,"Eldorado Springs, Eldorado Sprg",Boulder County,Area Code 303
23,80026,Standard,Lafayette,Boulder County,Area Code 303
24,80027,Standard,"Louisville, Superior",Boulder County,Area Code 303
25,80028,Unique,Louisville,Boulder County,Area Code 303
26,80030,Standard,Westminster,Adams County,Area Code 303
27,80031,Standard,Westminster,Adams County,Area Code 303
28,80033,Standard,"Wheat Ridge, Denver",Jefferson County,Area Code 303
29,80034,PO Box,Wheat Ridge,Jefferson County,Area Code 303
30,80035,PO Box,Westminster,Jefferson County,Area Code 303
31,80036,PO Box,Westminster,Jefferson County,Area Code 303
32,80037,PO Box,Commerce City,Adams County,Area Code 303
33,80038,PO Box,Broomfield,Broomfield County,Area Code 303
34,80040,PO Box,Aurora,Arapahoe County,Area Code 303
35,80041,PO Box,Aurora,Arapahoe County,Area Code 303
36,80042,PO Box,Aurora,Arapahoe County,Area Code 303
37,80044,PO Box,Aurora,Arapahoe County,Area Code 303
38,80045,Standard,Aurora,Adams County,Area Code 720
39,80046,PO Box,Aurora,Arapahoe County,Area Code 303
40,80047,PO Box,Aurora,Arapahoe County,Area Code 303
